Species,Date,Rep,Type,Count
Ocu,8/7/18,c,Low1,36
Ocu,8/7/18,a,Low2,35
Ocu,8/7/18,b,Low2,22
Ocu,8/7/18,c,Low2,18
Ocu,8/7/18,a,High1,30
Ocu,8/7/18,b,High1,44
Ocu,8/7/18,c,High1,55
Ocu,8/7/18,a,High2,32
Ocu,8/7/18,b,High2,29
Ocu,8/7/18,c,High2,33
Mac,8/7/18,a,Control1,100
Mac,8/7/18,b,Control1,98
Mac,8/7/18,c,Control1,98
Mac,8/7/18,a,Control2,93
Mac,8/7/18,b,Control2,94
Mac,8/7/18,c,Control2,88
Mac,8/7/18,a,Low1,109
Mac,8/7/18,b,Low1,77
Mac,8/7/18,c,Low1,78
Mac,8/7/18,a,Low2,84
Mac,8/7/18,b,Low2,76
Mac,8/7/18,c,Low2,110
Mac,8/7/18,a,High1,81
Mac,8/7/18,b,High1,61
Mac,8/7/18,c,High1,70
Mac,8/7/18,a,High2,70
Mac,8/7/18,b,High2,84
Mac,8/7/18,c,High2,64
Ocu,8/8/18,a,Control1,39
Ocu,8/8/18,b,Control1,49
Ocu,8/8/18,c,Control1,30
Ocu,8/8/18,a,Control2,32
Ocu,8/8/18,b,Control2,37
Ocu,8/8/18,c,Control2,43
Ocu,8/8/18,a,Low1,23
Ocu,8/8/18,b,Low1,14
Ocu,8/8/18,c,Low1,17
Ocu,8/8/18,a,Low2,12
Ocu,8/8/18,b,Low2,40
Ocu,8/8/18,c,Low2,16
Ocu,8/8/18,a,High1,18
Ocu,8/8/18,b,High1,41
Ocu,8/8/18,c,High1,40
Ocu,8/8/18,a,High2,33
Ocu,8/8/18,b,High2,32
Ocu,8/8/18,c,High2,45
Mac,8/8/18,a,Control1,97
Mac,8/8/18,b,Control1,83
Mac,8/8/18,c,Control1,85
Mac,8/8/18,a,Control2,87
Mac,8/8/18,b,Control2,100
Mac,8/8/18,c,Control2,87
Mac,8/8/18,a,Low1,66
Mac,8/8/18,b,Low1,112
Mac,8/8/18,c,Low1,79
Mac,8/8/18,a,Low2,63
Mac,8/8/18,b,Low2,69
Mac,8/8/18,c,Low2,62
Mac,8/8/18,a,High1,77
Mac,8/8/18,b,High1,69
Mac,8/8/18,c,High1,70
Mac,8/8/18,a,High2,64
Mac,8/8/18,b,High2,87
Mac,8/8/18,c,High2,72
